time (minutes),A,B
16.2008333333333,34624.6809527645,57707.2892950889
16.2016666666667,34624.6809527782,57707.2894430449
16.2025,34624.680952792,57707.2895909581
16.2033333333333,34624.6809528057,57707.2897388287
16.2041666666667,34624.6809528194,57707.2898866565
16.205,34624.6809528332,57707.2900344417
16.2058333333333,34624.6809528469,57707.2901821841
16.2066666666667,34624.6809528606,57707.290329884
16.2075,34624.6809528743,57707.2904775411
16.2083333333333,34624.680952888,57707.2906251556
16.2091666666667,34624.6809529017,57707.2907727275
16.21,34624.6809529154,57707.2909202568
16.2108333333333,34624.6809529291,57707.2910677435
16.2116666666667,34624.6809529427,57707.2912151876
16.2125,34624.6809529564,57707.2913625891
16.2133333333333,34624.6809529701,57707.2915099481
16.2141666666667,34624.6809529837,57707.2916572645
